4,"@jeffrubenstein pfft, forget Disgaea (great game)... play some Suikoden on the PSP instead. "
4,lying in my bed watching disney channel 
4,"@Jessi_lea it depends, i think for more designer stuff, the US site  I am also loving urban outfitters, i will send there website "
4,I'm so excited bout this Saturday! Hope Fatin can make it this time 
4,I'll just pretend.... I'm good at it.  happppy brittney!
4,watching some music videos 
4,@babblingbrookie: Try this. Concentrate on the four dots in the middle of the picture for about 30 secs.... http://twitpic.com/5zw4w 
4,@AndyGoulding can you sort me out a meet with Escala? 
4,"@GoCheeksGo I'm sure you have it by now, but just in case.  http://community.livejournal.com/fiercefabcheeks/profile"
4,Iiiccee cream 
4,"@cindyleigh Of course, but most people would think you were a scamming spammer "
4,@littlefuoco good morning! how much have you seen so far? 
4,many things on my mind-i want to go shopping...i really don't like this rain..im excited for powerhouse..and i like this twitter thing 
4,@johnkung I would be very angry if I went through a speed camera at 11.2km/h and got a fine! 
4,@ilse_fernandez heyy i got facebook now 
4,@glamah  ahh.. i thought it looked like pacific  northwest.  my people are from there  thanks
4,@OliviaWilder Love your friends! Thx. 
4,A sunny cloudless day - great! 
4,i must to go all time low signing next monday 
4,@GMoua okie dokie  hopefully ms p will be there lol
4,good morning party people! 
4,@jespern great to hear that 
4,Got back from the Palms. Gelly &amp; Nessa and I saw Night at the museum.  They LOVED IT! MOVIE ROCKED! 
4,@StealthyHHH yay ur back!!! 
4,I love taylor  she's my bestestt friend. Such a good person.
4,@barrysaunders let's discuss the finer details of the sale over lunch at Sailors Thai Canteen next week. Be sure to bring the shiny euro 
4,@mileycyrus it's definitely fun! you should try it sometime. 
4,i have that same sleeping problem @mileycyrus hopefully you and i both catch some zzzz's tonight! 
4,Ahhhh AC in my room 
4,@sheldongoh have fun 
4,"@Zorlone so it only showed the visits from around 7:30 pm yesterday up to this morning.. my time, not yours..hehe haaay..hindi na masama "
4,@ZDAEfron you're amazing 
4,8 days to the t20 cricket world cup and 17 days to my vacation!! 
4,playin mario..how i love  old  arcade games 
4,@blackrealestate i wont. im cool with how i am  thx sweetie
4,Duuuude I don't think there is any more work for me to do the entire year 
4,I need to eat one last meal before bed. And then it's list making for me! Gnight tweeples.  #gno
4,Chappelle's show marathon? Hell YES! 
4,@mileycyrus I LOVE UGLY BETTY  AJAJAJAJA THE ORIGINAL SERIE WAS &quot;BETTY LA FEA&quot; FROM COLOMBIA.IT WAS AWESOME! G&amp;G MILEY! 
4,@Shawee23 fully awake now..hehe  wish you have a wonderful day..happy always
4,@juliehancock32 You know Seabird too!? Cool  Did ya go to their Orlando show? Cause they only ever played Orlando once before this year!
4,"otb harry potter and the deathly hallows, haha I just reached chapter 1, longlong way to go  but this is an amazing book! I ? reading it!"
4,Just purchased 'Educate' app for the iPhone... report coming soon 
4,Awesome! It's working!!  This would be perfect for tomorrow morning when I'm watching the Champions League final at the pub!!
4,Ok - I've stopped being grumpy for the day now  &lt;-- see! I'm smilin;
4,I'm getiing tired but I wanna keep talking to Allie 
